"lon","lat","structure.17085..class....Date.."
-102.6713,37.0225,2016-10-11
-106.2294,38.7183,2016-10-11
-108.90396,38.7489,2016-10-11
-105.2174,38.4549,2016-10-11
-108.44254,40.45191,2016-10-11
-105.3499,37.8521,2016-10-11
-108.25513,39.01214,2016-10-11
-111.53,35.36,2016-10-11
-108.86,39.51,2016-10-11
-115.5848,35.5315,2016-10-11
-105.3528,40.7196,2016-10-11
-111.53,35.36,2016-10-11
-108.7439,38.9374,2016-10-11
-108.8422,38.2116,2016-10-11
-105.716,38.033,2016-10-11
-115.32828,35.2624,2016-10-11
170.91667,-42.91667,2016-10-11
-116.49,33.57,2016-10-11
-105.178,40.7638,2016-10-11
-108.397,39.906,2016-10-11
-116.49,33.57,2016-10-11
-102.9763,37.0016,2016-10-11
-108.0583,39.5714,2016-10-11
-107.2999,37.1938,2016-10-11
-106.2494,37.0564,2016-10-11
-105.0839,39.23,2016-10-11
-105.1814,40.7632,2016-10-11
-107.7135,38.5249,2016-10-11
-115.3723,35.2722,2016-10-11
-108.9848,37.5523,2016-10-11
170.91667,-42.91667,2016-10-11
-102.9509,37.0392,2016-10-11
-108.86,39.51,2016-10-11
