"","lon","lat","dwnld.date"
"399",-115.3113,35.2620999991102,2017-07-25
"400",-115.3113,35.2621,2017-07-25
"401",-115.298,35.2525999991104,2017-07-25
"403",-115.298,35.2526,2017-07-25
"408",-112.23,37.77,2017-07-25
"410",-100.738933,23.830056,2017-07-25
"413",-102.92651,36.90305,2017-07-25
"421",-104.1325,23.434722,2017-07-25
"447",-115.29972,35.2252799991106,2017-07-25
"448",-115.29972,35.22528,2017-07-25
"449",-103.02349,36.81373,2017-07-25
"450",-103.80415,35.77684,2017-07-25
"451",-107.90472,32.64474,2017-07-25
"452",-103.02349,36.81373,2017-07-25
"460",-109.35,37.89166,2017-07-25
"463",-115.633611,35.268889,2017-07-25
"464",-102.97028,36.877688,2017-07-25
"465",-115.2908,35.2584,2017-07-25
"466",-115.2908,35.2583999991103,2017-07-25
"467",-115.468333,35.2158329991108,2017-07-25
"468",-115.633611,35.268889,2017-07-25
"469",-115.468333,35.215833,2017-07-25
"472",-100.197222,33.942778,2017-07-25
"473",-100.197222,33.942778,2017-07-25
"475",-115.510556,34.9877779991133,2017-07-25
"476",-115.510556,34.987778,2017-07-25
"478",-115.465,34.966667,2017-07-25
"479",-115.465,34.9666669991135,2017-07-25
"485",-103.99425,37.64356,2017-07-25
"487",-102.96817,37.03672,2017-07-25
"488",-109.48,32.15,2017-07-25
"489",-108.28,33.17,2017-07-25
"495",-112,34,2017-07-25
"500",-108.43,31.74,2017-07-25
"502",-109.37,33.13,2017-07-25
"505",-115.2891,35.2725999991101,2017-07-25
"507",-115.2891,35.2726,2017-07-25
"510",-105.631389,33.614722,2017-07-25
"513",-105.631389,33.614722,2017-07-25
"518",-106.176,38.7263,2017-07-25
"524",-111.65,35.2,2017-07-25
"526",-103.35167,37.58019,2017-07-25
"527",-103.35167,37.58019,2017-07-25
"528",-102.9137,37.08026,2017-07-25
"529",-102.9137,37.08026,2017-07-25
"530",-104.90841,37.62411,2017-07-25
"531",-105.07926,36.20119,2017-07-25
"532",-105.46722,33.54524,2017-07-25
"533",-105.44634,35.40499,2017-07-25
"534",-107.90472,32.64474,2017-07-25
"535",-105.60196,34.28845,2017-07-25
"536",-105.11806,38.30329,2017-07-25
"538",-105.11806,38.30329,2017-07-25
"552",-102.93558,36.90306,2017-07-25
"553",-102.606944,34.959722,2017-07-25
"555",-102.606944,34.959722,2017-07-25
"594",-106.449733,35.210282,2017-07-25
"595",-110.011586,37.580967,2017-07-25
"596",-109.241111,38.448889,2017-07-25
"603",-111.75,34.88,2017-07-25
"604",-112,34,2017-07-25
"611",-101.37,26.34,2017-07-25
"624",-100.197222,33.942778,2017-07-25
"625",-100.197222,33.942778,2017-07-25
"636",-115.4097,35.1753,2017-07-25
"637",-115.4097,35.1752999991112,2017-07-25
"645",-116.60497,33.55947,2017-07-25
"646",-116.60497,33.55947,2017-07-25
"648",-105.5,33.5,2017-07-25
"649",-115.3083,35.2604,2017-07-25
"650",-115.3083,35.2603999991103,2017-07-25
"668",-102.93195,36.90306,2017-07-25
"688",-105.0772,40.5661,2017-07-25
"689",-111.3711,35.52,2017-07-25
"691",-115.28898,35.27267,2017-07-25
"693",-115.2875,35.2724999991101,2017-07-25
"694",-115.289,35.2726999991101,2017-07-25
"695",-115.2875,35.2725,2017-07-25
"696",-115.289,35.2727,2017-07-25
"697",-115.28898,35.2726699991101,2017-07-25
"698",-115.2897,35.2721999991101,2017-07-25
"699",-115.289,35.2726999991101,2017-07-25
"700",-115.289,35.2727,2017-07-25
"701",-108.659064,37.341564,2017-07-25
"705",-104.82518,38.830781,2017-07-25
"707",-111.67,35.15,2017-07-25
"726",-115.3336,35.2441,2017-07-25
"727",-115.3336,35.2440999991104,2017-07-25
"728",-115.3051,35.2983,2017-07-25
"729",-115.3051,35.2982999991098,2017-07-25
"731",-103.9678,36.78389,2017-07-25
"733",-106.57,32.8,2017-07-25
"736",-115.216667,35.35,2017-07-25
"737",-115.216667,35.3499999991093,2017-07-25
"755",-116.601,33.6287,2017-07-25
